DataSeries,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
        HDB 1- And 2-Room Flats,14575,15058,15285,15060,15077,15257,15275,15200,14965,14734,14367,13183,12233,11230,10389,9518,9197,8774,8616,8476,7890,7047,6548,6358,5860,6378
        HDB 3-Room Flats,43712,45304,47271,47880,48178,49802,50296,50323,50563,51321,51412,50994,50882,50649,49841,48529,47883,46796,46201,46500,44517,41373,39383,36750,33861,35988
        HDB 4-Room Flats,88802,91735,95013,96053,96514,99327,100231,99937,99553,99454,98349,96988,95096,92384,88288,84079,80518,76668,72804,70030,64067,56077,50164,44792,38419,37587
        HDB 5-Room And Executive Flats,75471,76905,78931,79026,78946,80902,81689,81357,80957,80158,78799,76605,73820,70470,67000,63245,60437,57023,53661,50734,45637,39057,34079,29517,24957,23738
    Condominiums & Other Apartments,48255,45839,44154,41675,38997,38676,37022,35127,32900,30517,28583,26805,25123,23473,22215,20489,19199,17846,17511,16692,14708,12572,10571,9379,7533,6746
    Landed Properties,16896,17280,17761,17872,18246,19388,19719,19936,20222,20642,20815,20967,20669,20350,19760,19608,19487,19062,18968,18955,17863,15882,14449,13587,11997,11595
    Other Types Of Dwelling,2072,2107,2253,2269,2268,2478,2527,2510,2518,2539,2502,2533,2574,2506,2445,2393,2343,2305,2128,2121,2072,1839,1751,1788,1766,1972
60-64 Years,296675,296643,293788,288007,282612,284626,278828,271688,262651,251853,240493,231502,222154,213996,208160,191995,169696,153161,135501,118242,117575,122736,121724,123438,118506,110503
    Total HDB Dwellings,238965,240265,239160,235523,231862,233428,229076,223221,216223,208022,198879,191479,183838,177048,171949,158647,140100,126698,111864,97796,97994,103203,102980,104076,99874,93037
        HDB 1- And 2-Room Flats,18750,18729,18277,17702,17641,17485,16892,16467,15605,14682,13579,12274,11258,10566,10132,9167,8197,7654,6974,6319,6356,7055,7130,7806,7226,7009
        HDB 3-Room Flats,48431,48641,48526,47910,47317,48240,47658,47399,46618,45833,44863,44528,44102,44142,44639,42593,38688,35815,32454,28904,29945,32786,34196,35355,35449,34090
        HDB 4-Room Flats,95692,96072,95725,94390,93004,93468,92300,89921,87650,83959,80212,76872,73357,69882,67344,61611,53890,48430,42444,36845,36625,38221,37540,37221,34875,31818
        HDB 5-Room And Executive Flats,76092,76823,76632,75521,73900,74235,72226,69434,66350,63316,59993,57488,54558,51764,49153,44515,38648,34162,29349,25180,24555,24662,23615,23029,21572,19406
    Condominiums & Other Apartments,37308,35523,33460,31256,29291,28871,27444,26336,24474,22506,20786,19388,17974,17016,16208,14547,12699,11082,9887,8353,7610,7237,6635,6570,5980,5228
    Landed Properties,17701,18184,18546,18577,18722,19573,19623,19466,19315,18733,18313,18130,17841,17580,17556,16502,14817,13488,12165,10658,10407,10716,10499,10968,10775,10400
    Other Types Of Dwelling,2701,2671,2622,2651,2737,2754,2685,2665,2639,2592,2515,2505,2501,2352,2447,2299,2080,1893,1585,1435,1564,1580,1610,1824,1877,1838
65-69 Years,272419,266169,259041,247930,235391,229396,221296,212101,203969,198020,182425,161198,145817,128879,112396,111511,116258,115185,113757,108837,101088,96007,89883,89587,89676,88305
    Total HDB Dwellings,223870,219042,213316,204314,194248,188645,181847,173904,166911,162333,149609,132053,119928,106322,92727,92739,97159,96395,95348,91061,84450,80743,75802,75141,75330,74218
        HDB 1- And 2-Room Flats,21149,20278,19402,18188,17236,16448,15680,14855,13963,13182,12029,9991,8922,7812,6866,6793,7435,7585,7767,7432,7045,6766,6400,6668,6745,7008
        HDB 3-Room Flats,46628,45899,45343,43840,42212,41986,41384,40493,40076,40443,38220,34948,32647,29976,26807,27574,29542,29951,30017,29188,27560,26862,25623,25276,25757,25515
        HDB 4-Room Flats,87875,86382,84296,81373,77190,74732,71624,68151,64843,62612,57367,50428,45325,39957,34502,34339,35757,35082,34373,32666,29889,28549,26838,26830,26785,26327
        HDB 5-Room And Executive Flats,68218,66483,64275,60913,57610,55479,53159,50405,48029,45863,41764,36424,32616,28147,24188,23637,24050,23435,22770,21397,19615,18249,16623,15971,15643,14961
    Condominiums & Other Apartments,27633,26235,24974,23201,21374,20783,19671,18789,18007,16736,15103,13213,11333,9527,8089,7507,7362,7268,7153,6745,5969,5161,4423,4396,4108,3724
    Landed Properties,17575,17757,17681,17359,16812,17033,16892,16606,16439,16342,15292,13729,12513,11218,9888,9526,9848,9596,9627,9466,9155,8727,8273,8444,8445,8381
    Other Types Of Dwelling,3341,3135,3070,3056,2957,2935,2886,2802,2612,2609,2421,2203,2043,1812,1692,1739,1889,1926,1629,1565,1514,1376,1385,1606,1793,1982
70-74 Years,214617,206521,197890,188584,181326,170008,150127,135546,119494,103796,102631,106815,105746,104414,100073,92618,87428,81307,78631,78317,76545,72485,70002,70642,69048,66948
    Total HDB Dwellings,176242,169298,161881,153842,147919,137939,121738,109823,96995,84462,84178,87994,87588,86768,83082,76784,72454,67366,65404,65303,63895,60638,58325,58231,56806,55028
        HDB 1- And 2-Room Flats,18638,17576,16414,15171,14517,13389,11608,10435,9061,7774,7620,7858,7819,7804,7427,6923,6664,6356,6330,6433,6326,6126,5940,6388,6250,6372
        HDB 3-Room Flats,39340,38561,37555,36551,36208,34498,31302,29048,26170,23169,23651,25391,26005,26361,25898,24311,22818,21115,20407,20213,19796,19058,18332,18054,17823,17500
        HDB 4-Room Flats,68188,65184,62286,58866,56309,52127,45727,41009,36278,31278,31086,32357,31852,31289,29648,27130,25617,23978,23407,23593,23237,21965,21177,20989,20252,19361
        HDB 5-Room And Executive Flats,50076,47977,45626,43254,40885,37925,33101,29331,25486,22095,21671,22224,21695,21065,19860,18172,17129,15722,15024,14858,14347,13331,12680,12552,12186,11494
    Condominiums & Other Apartments,19707,18696,17698,16912,15722,15054,13305,11883,10080,8228,7614,7491,7166,6734,6365,5705,5152,4671,4496,4223,3886,3516,3332,3440,3244,2984
    Landed Properties,15143,15148,15043,14729,14565,14054,12501,11473,10376,9217,8872,9180,8897,8842,8570,8272,7959,7499,7346,7370,7220,6961,6887,7186,6994,6786
    Other Types Of Dwelling,3525,3379,3268,3101,3120,2961,2583,2367,2043,1889,1967,2150,2095,2070,2056,1857,1863,1771,1385,1421,1544,1370,1458,1785,2004,2150
75-79 Years,152820,134612,121003,105792,90978,90990,94600,93327,91953,87955,81211,76294,70619,67675,66909,65178,61490,59001,56732,54413,51601,47875,42863,45830,42501,39644
    Total HDB Dwellings,122736,107965,96991,85021,73134,73394,76526,75648,74697,71583,66019,62050,57446,55218,54675,53333,50092,47787,46288,44335,41998,39539,35465,37234,34493,32314
        HDB 1- And 2-Room Flats,13434,11551,10199,8816,7440,7377,7791,7665,7619,7205,6664,6113,5777,5540,5494,5314,5149,5038,4958,4690,4404,4128,3571,4491,4090,3819
        HDB 3-Room Flats,30321,27443,25263,22642,19769,20234,21606,21850,21805,21281,19760,18562,17148,16629,16466,16059,14920,14050,13512,12909,12224,11734,10593,11125,10487,9967
        HDB 4-Room Flats,45779,39977,35680,31339,26900,26905,27926,27409,26897,25498,23323,21987,20419,19681,19696,19385,18150,17392,16701,16158,15306,14466,13095,13135,12032,11199
