age_group,ethnicity,sex,residents
29,Malays,Males,5185
29,Malays,Females,4790
29,Indians,Males,2357
29,Indians,Females,2409
29,Others,Males,475
29,Others,Females,884
30,Chinese,Males,21649
30,Chinese,Females,22656
30,Malays,Males,4969
30,Malays,Females,4911
30,Indians,Males,2311
30,Indians,Females,2409
30,Others,Males,457
30,Others,Females,976
31,Chinese,Males,24294
31,Chinese,Females,26204
31,Malays,Males,4800
31,Malays,Females,4590
31,Indians,Males,2326
31,Indians,Females,2361
31,Others,Males,491
31,Others,Females,1110
32,Chinese,Males,22114
32,Chinese,Females,23693
32,Malays,Males,4577
32,Malays,Females,4391
32,Indians,Males,2324
32,Indians,Females,2567
32,Others,Males,491
32,Others,Females,1170
33,Chinese,Males,18707
33,Chinese,Females,20660
33,Malays,Males,4028
33,Malays,Females,4093
33,Indians,Males,2244
33,Indians,Females,2414
33,Others,Males,491
33,Others,Females,1213
34,Chinese,Males,19721
34,Chinese,Females,21437
34,Malays,Males,4195
34,Malays,Females,4060
34,Indians,Males,2281
34,Indians,Females,2583
34,Others,Males,552
34,Others,Females,1278
35,Chinese,Males,20641
35,Chinese,Females,22613
35,Malays,Males,4003
35,Malays,Females,4052
35,Indians,Males,2400
35,Indians,Females,2963
35,Others,Males,605
35,Others,Females,1425
36,Chinese,Males,19771
36,Chinese,Females,21980
36,Malays,Males,3821
36,Malays,Females,3778
36,Indians,Males,2536
36,Indians,Females,2961
36,Others,Males,734
36,Others,Females,1538
37,Chinese,Males,21266
37,Chinese,Females,23457
37,Malays,Males,3903
37,Malays,Females,3909
37,Indians,Males,2844
37,Indians,Females,3279
37,Others,Males,788
37,Others,Females,1673
38,Chinese,Males,21482
38,Chinese,Females,23633
38,Malays,Males,3606
38,Malays,Females,3589
38,Indians,Males,3145
38,Indians,Females,3372
38,Others,Males,989
38,Others,Females,1678
39,Chinese,Males,20900
39,Chinese,Females,23370
39,Malays,Males,3475
39,Malays,Females,3583
39,Indians,Males,3373
39,Indians,Females,3558
39,Others,Males,1075
39,Others,Females,1747
40,Chinese,Males,20837
40,Chinese,Females,23035
40,Malays,Males,3094
40,Malays,Females,3213
40,Indians,Males,3515
40,Indians,Females,3545
40,Others,Males,1161
40,Others,Females,1680
41,Chinese,Males,20949
41,Chinese,Females,23461
41,Malays,Males,2777
41,Malays,Females,3144
41,Indians,Males,3611
41,Indians,Females,3334
41,Others,Males,1216
41,Others,Females,1735
42,Chinese,Males,20060
42,Chinese,Females,22643
42,Malays,Males,2744
42,Malays,Females,3038
42,Indians,Males,3586
42,Indians,Females,3095
42,Others,Males,1265
42,Others,Females,1662
43,Chinese,Males,21710
43,Chinese,Females,24483
43,Malays,Males,2693
43,Malays,Females,2897
43,Indians,Males,3782
43,Indians,Females,3090
43,Others,Males,1332
43,Others,Females,1673
44,Chinese,Males,20806
44,Chinese,Females,23144
44,Malays,Males,2686
44,Malays,Females,2996
44,Indians,Males,3628
44,Indians,Females,2997
44,Others,Males,1349
44,Others,Females,1625
45,Chinese,Males,20768
45,Chinese,Females,23160
45,Malays,Males,2963
45,Malays,Females,3122
45,Indians,Males,3850
45,Indians,Females,2911
45,Others,Males,1465
45,Others,Females,1686
46,Chinese,Males,22132
46,Chinese,Females,24583
46,Malays,Males,2963
46,Malays,Females,3213
46,Indians,Males,3757
46,Indians,Females,2814
46,Others,Males,1438
46,Others,Females,1627
47,Chinese,Males,23192
47,Chinese,Females,25521
47,Malays,Males,3330
47,Malays,Females,3403
47,Indians,Males,3725
47,Indians,Females,2689
47,Others,Males,1531
47,Others,Females,1570
48,Chinese,Males,22329
48,Chinese,Females,24600
48,Malays,Males,3156
48,Malays,Females,3417
48,Indians,Males,3734
48,Indians,Females,2625
48,Others,Males,1473
48,Others,Females,1502
49,Chinese,Males,21860
49,Chinese,Females,24234
49,Malays,Males,3090
49,Malays,Females,3353
49,Indians,Males,3511
49,Indians,Females,2504
49,Others,Males,1423
49,Others,Females,1516
50,Chinese,Males,20555
50,Chinese,Females,22878
50,Malays,Males,2875
50,Malays,Females,3149
50,Indians,Males,3259
50,Indians,Females,2367
50,Others,Males,1392
50,Others,Females,1399
51,Chinese,Males,20262
51,Chinese,Females,22586
51,Malays,Males,3178
51,Malays,Females,3503
51,Indians,Males,3183
51,Indians,Females,2336
51,Others,Males,1148
51,Others,Females,1312
52,Chinese,Males,21339
52,Chinese,Females,22918
52,Malays,Males,3630
52,Malays,Females,3664
52,Indians,Males,3100
52,Indians,Females,2325
52,Others,Males,1252
52,Others,Females,1153
53,Chinese,Males,21200
53,Chinese,Females,22221
53,Malays,Males,3850
53,Malays,Females,4149
53,Indians,Males,3068
53,Indians,Females,2370
53,Others,Males,1155
53,Others,Females,1125
54,Chinese,Males,22695
54,Chinese,Females,23490
54,Malays,Males,4097
54,Malays,Females,4334
54,Indians,Males,3033
54,Indians,Females,2434
54,Others,Males,1112
54,Others,Females,972
55,Chinese,Males,22816
55,Chinese,Females,23081
55,Malays,Males,4062
55,Malays,Females,4286
55,Indians,Males,2803
55,Indians,Females,2357
55,Others,Males,1011
55,Others,Females,900
56,Chinese,Males,23352
56,Chinese,Females,23858
56,Malays,Males,4334
56,Malays,Females,4391
56,Indians,Males,2809
56,Indians,Females,2402
56,Others,Males,960
56,Others,Females,860
57,Chinese,Males,23103
57,Chinese,Females,23355
57,Malays,Males,4094
57,Malays,Females,4224
57,Indians,Males,2549
57,Indians,Females,2373
57,Others,Males,907
57,Others,Females,772
58,Chinese,Males,22576
58,Chinese,Females,22973
58,Malays,Males,4172
58,Malays,Females,4163
58,Indians,Males,2481
58,Indians,Females,2252
58,Others,Males,772
58,Others,Females,680
59,Chinese,Males,22919
59,Chinese,Females,22954
59,Malays,Males,3992
59,Malays,Females,4094
59,Indians,Males,2489
59,Indians,Females,2240
59,Others,Males,759
59,Others,Females,655
60,Chinese,Males,22732
