region,sex,age_group,year,residents
North Region,Female,75 - 79 Years,2019,4990.0
North Region,Female,80 - 84 Years,2025,4100.0
North Region,Female,80 - 84 Years,2024,4210.0
North Region,Female,80 - 84 Years,2023,4230.0
North Region,Female,80 - 84 Years,2022,4130.0
North Region,Female,80 - 84 Years,2021,3840.0
North Region,Female,80 - 84 Years,2020,3510.0
North Region,Female,80 - 84 Years,2019,3270.0
North Region,Female,85 - 89 Years,2025,2590.0
North Region,Female,85 - 89 Years,2024,2400.0
North Region,Female,85 - 89 Years,2023,2140.0
North Region,Female,85 - 89 Years,2022,2010.0
North Region,Female,85 - 89 Years,2021,2070.0
North Region,Female,85 - 89 Years,2020,2020.0
North Region,Female,85 - 89 Years,2019,1810.0
North Region,Female,90 Years & Over,2025,1570.0
North Region,Female,90 Years & Over,2024,1380.0
North Region,Female,90 Years & Over,2023,1300.0
North Region,Female,90 Years & Over,2022,1220.0
North Region,Female,90 Years & Over,2021,1170.0
North Region,Female,90 Years & Over,2020,1120.0
North Region,Female,90 Years & Over,2019,1080.0
North-East Region,Male,0 - 4 Years,2025,20250.0
North-East Region,Male,0 - 4 Years,2024,21200.0
North-East Region,Male,0 - 4 Years,2023,22310.0
North-East Region,Male,0 - 4 Years,2022,23470.0
North-East Region,Male,0 - 4 Years,2021,24390.0
North-East Region,Male,0 - 4 Years,2020,25800.0
North-East Region,Male,0 - 4 Years,2019,26720.0
North-East Region,Male,5 - 9 Years,2025,25880.0
North-East Region,Male,5 - 9 Years,2024,26820.0
North-East Region,Male,5 - 9 Years,2023,27020.0
North-East Region,Male,5 - 9 Years,2022,27450.0
North-East Region,Male,5 - 9 Years,2021,27350.0
North-East Region,Male,5 - 9 Years,2020,27160.0
North-East Region,Male,5 - 9 Years,2019,26550.0
North-East Region,Male,10 - 14 Years,2025,27230.0
North-East Region,Male,10 - 14 Years,2024,26740.0
North-East Region,Male,10 - 14 Years,2023,26460.0
North-East Region,Male,10 - 14 Years,2022,25800.0
North-East Region,Male,10 - 14 Years,2021,25260.0
North-East Region,Male,10 - 14 Years,2020,25390.0
North-East Region,Male,10 - 14 Years,2019,25040.0
North-East Region,Male,15 - 19 Years,2025,25890.0
North-East Region,Male,15 - 19 Years,2024,25530.0
North-East Region,Male,15 - 19 Years,2023,24960.0
North-East Region,Male,15 - 19 Years,2022,24370.0
North-East Region,Male,15 - 19 Years,2021,23740.0
North-East Region,Male,15 - 19 Years,2020,24320.0
North-East Region,Male,15 - 19 Years,2019,24770.0
North-East Region,Male,20 - 24 Years,2025,24730.0
North-East Region,Male,20 - 24 Years,2024,25290.0
North-East Region,Male,20 - 24 Years,2023,25610.0
North-East Region,Male,20 - 24 Years,2022,25740.0
North-East Region,Male,20 - 24 Years,2021,26050.0
North-East Region,Male,20 - 24 Years,2020,25930.0
North-East Region,Male,20 - 24 Years,2019,25880.0
North-East Region,Male,25 - 29 Years,2025,28380.0
North-East Region,Male,25 - 29 Years,2024,28700.0
North-East Region,Male,25 - 29 Years,2023,29060.0
North-East Region,Male,25 - 29 Years,2022,29100.0
North-East Region,Male,25 - 29 Years,2021,28470.0
North-East Region,Male,25 - 29 Years,2020,29130.0
North-East Region,Male,25 - 29 Years,2019,29300.0
North-East Region,Male,30 - 34 Years,2025,34470.0
North-East Region,Male,30 - 34 Years,2024,34510.0
North-East Region,Male,30 - 34 Years,2023,35210.0
North-East Region,Male,30 - 34 Years,2022,35430.0
North-East Region,Male,30 - 34 Years,2021,34040.0
North-East Region,Male,30 - 34 Years,2020,34440.0
North-East Region,Male,30 - 34 Years,2019,35100.0
North-East Region,Male,35 - 39 Years,2025,36440.0
North-East Region,Male,35 - 39 Years,2024,36700.0
North-East Region,Male,35 - 39 Years,2023,35610.0
North-East Region,Male,35 - 39 Years,2022,35850.0
North-East Region,Male,35 - 39 Years,2021,36650.0
North-East Region,Male,35 - 39 Years,2020,38050.0
North-East Region,Male,35 - 39 Years,2019,38050.0
North-East Region,Male,40 - 44 Years,2025,37720.0
North-East Region,Male,40 - 44 Years,2024,38020.0
North-East Region,Male,40 - 44 Years,2023,38070.0
North-East Region,Male,40 - 44 Years,2022,36730.0
North-East Region,Male,40 - 44 Years,2021,35630.0
North-East Region,Male,40 - 44 Years,2020,35590.0
North-East Region,Male,40 - 44 Years,2019,35250.0
North-East Region,Male,45 - 49 Years,2025,35600.0
North-East Region,Male,45 - 49 Years,2024,35300.0
North-East Region,Male,45 - 49 Years,2023,35320.0
North-East Region,Male,45 - 49 Years,2022,35670.0
North-East Region,Male,45 - 49 Years,2021,34860.0
North-East Region,Male,45 - 49 Years,2020,35390.0
North-East Region,Male,45 - 49 Years,2019,34580.0
North-East Region,Male,50 - 54 Years,2025,35200.0
North-East Region,Male,50 - 54 Years,2024,34530.0
North-East Region,Male,50 - 54 Years,2023,33220.0
North-East Region,Male,50 - 54 Years,2022,31440.0
North-East Region,Male,50 - 54 Years,2021,30270.0
North-East Region,Male,50 - 54 Years,2020,30680.0
North-East Region,Male,50 - 54 Years,2019,30960.0
North-East Region,Male,55 - 59 Years,2025,30590.0
North-East Region,Male,55 - 59 Years,2024,30930.0
North-East Region,Male,55 - 59 Years,2023,31470.0
North-East Region,Male,55 - 59 Years,2022,31380.0
North-East Region,Male,55 - 59 Years,2021,31250.0
North-East Region,Male,55 - 59 Years,2020,31810.0
North-East Region,Male,55 - 59 Years,2019,31940.0
North-East Region,Male,60 - 64 Years,2025,31180.0
North-East Region,Male,60 - 64 Years,2024,31270.0
North-East Region,Male,60 - 64 Years,2023,31000.0
North-East Region,Male,60 - 64 Years,2022,30550.0
North-East Region,Male,60 - 64 Years,2021,30040.0
North-East Region,Male,60 - 64 Years,2020,29970.0
North-East Region,Male,60 - 64 Years,2019,29230.0
North-East Region,Male,65 - 69 Years,2025,28860.0
North-East Region,Male,65 - 69 Years,2024,28140.0
North-East Region,Male,65 - 69 Years,2023,27420.0
North-East Region,Male,65 - 69 Years,2022,26450.0
North-East Region,Male,65 - 69 Years,2021,25120.0
North-East Region,Male,65 - 69 Years,2020,24410.0
North-East Region,Male,65 - 69 Years,2019,23380.0
North-East Region,Male,70 - 74 Years,2025,22760.0
North-East Region,Male,70 - 74 Years,2024,21690.0
North-East Region,Male,70 - 74 Years,2023,20810.0
North-East Region,Male,70 - 74 Years,2022,19520.0
North-East Region,Male,70 - 74 Years,2021,18760.0
North-East Region,Male,70 - 74 Years,2020,17560.0
North-East Region,Male,70 - 74 Years,2019,15430.0
North-East Region,Male,75 - 79 Years,2025,15410.0
North-East Region,Male,75 - 79 Years,2024,13560.0
North-East Region,Male,75 - 79 Years,2023,12040.0
North-East Region,Male,75 - 79 Years,2022,10550.0
North-East Region,Male,75 - 79 Years,2021,8960.0
North-East Region,Male,75 - 79 Years,2020,8770.0
North-East Region,Male,75 - 79 Years,2019,9050.0
North-East Region,Male,80 - 84 Years,2025,6860.0
North-East Region,Male,80 - 84 Years,2024,7080.0
North-East Region,Male,80 - 84 Years,2023,6770.0
North-East Region,Male,80 - 84 Years,2022,6640.0
North-East Region,Male,80 - 84 Years,2021,6290.0
North-East Region,Male,80 - 84 Years,2020,5820.0
North-East Region,Male,80 - 84 Years,2019,5340.0
North-East Region,Male,85 - 89 Years,2025,3840.0
North-East Region,Male,85 - 89 Years,2024,3450.0
North-East Region,Male,85 - 89 Years,2023,3130.0
North-East Region,Male,85 - 89 Years,2022,2890.0
North-East Region,Male,85 - 89 Years,2021,2860.0
North-East Region,Male,85 - 89 Years,2020,2740.0
North-East Region,Male,85 - 89 Years,2019,2490.0
North-East Region,Male,90 Years & Over,2025,1640.0
North-East Region,Male,90 Years & Over,2024,1440.0
North-East Region,Male,90 Years & Over,2023,1310.0
North-East Region,Male,90 Years & Over,2022,1230.0
North-East Region,Male,90 Years & Over,2021,1140.0
North-East Region,Male,90 Years & Over,2020,1060.0
North-East Region,Male,90 Years & Over,2019,970.0
North-East Region,Female,0 - 4 Years,2025,19520.0
North-East Region,Female,0 - 4 Years,2024,20570.0
North-East Region,Female,0 - 4 Years,2023,21630.0
North-East Region,Female,0 - 4 Years,2022,22580.0
North-East Region,Female,0 - 4 Years,2021,23240.0
North-East Region,Female,0 - 4 Years,2020,24700.0
North-East Region,Female,0 - 4 Years,2019,25370.0
North-East Region,Female,5 - 9 Years,2025,25050.0
North-East Region,Female,5 - 9 Years,2024,25740.0
North-East Region,Female,5 - 9 Years,2023,26080.0
North-East Region,Female,5 - 9 Years,2022,26270.0
North-East Region,Female,5 - 9 Years,2021,26090.0
North-East Region,Female,5 - 9 Years,2020,25700.0
North-East Region,Female,5 - 9 Years,2019,25160.0
North-East Region,Female,10 - 14 Years,2025,25840.0
North-East Region,Female,10 - 14 Years,2024,25460.0
North-East Region,Female,10 - 14 Years,2023,25090.0
North-East Region,Female,10 - 14 Years,2022,24660.0
North-East Region,Female,10 - 14 Years,2021,24060.0
North-East Region,Female,10 - 14 Years,2020,24510.0
North-East Region,Female,10 - 14 Years,2019,24230.0
North-East Region,Female,15 - 19 Years,2025,24850.0
North-East Region,Female,15 - 19 Years,2024,24520.0
North-East Region,Female,15 - 19 Years,2023,24020.0
North-East Region,Female,15 - 19 Years,2022,23370.0
North-East Region,Female,15 - 19 Years,2021,22710.0
North-East Region,Female,15 - 19 Years,2020,23180.0
North-East Region,Female,15 - 19 Years,2019,23370.0
North-East Region,Female,20 - 24 Years,2025,23570.0
North-East Region,Female,20 - 24 Years,2024,23890.0
North-East Region,Female,20 - 24 Years,2023,24130.0
North-East Region,Female,20 - 24 Years,2022,24120.0
North-East Region,Female,20 - 24 Years,2021,24120.0
North-East Region,Female,20 - 24 Years,2020,24450.0
North-East Region,Female,20 - 24 Years,2019,24590.0
North-East Region,Female,25 - 29 Years,2025,28060.0
North-East Region,Female,25 - 29 Years,2024,28790.0
North-East Region,Female,25 - 29 Years,2023,29730.0
North-East Region,Female,25 - 29 Years,2022,29970.0
North-East Region,Female,25 - 29 Years,2021,29690.0
North-East Region,Female,25 - 29 Years,2020,30750.0
North-East Region,Female,25 - 29 Years,2019,31530.0
North-East Region,Female,30 - 34 Years,2025,37650.0
North-East Region,Female,30 - 34 Years,2024,38460.0
North-East Region,Female,30 - 34 Years,2023,39420.0
North-East Region,Female,30 - 34 Years,2022,39930.0
North-East Region,Female,30 - 34 Years,2021,38790.0
North-East Region,Female,30 - 34 Years,2020,39960.0
North-East Region,Female,30 - 34 Years,2019,40710.0
North-East Region,Female,35 - 39 Years,2025,41920.0
North-East Region,Female,35 - 39 Years,2024,42220.0
North-East Region,Female,35 - 39 Years,2023,41250.0
North-East Region,Female,35 - 39 Years,2022,40680.0
North-East Region,Female,35 - 39 Years,2021,40740.0
North-East Region,Female,35 - 39 Years,2020,42060.0
North-East Region,Female,35 - 39 Years,2019,41410.0
North-East Region,Female,40 - 44 Years,2025,42590.0
North-East Region,Female,40 - 44 Years,2024,42150.0
North-East Region,Female,40 - 44 Years,2023,41550.0
North-East Region,Female,40 - 44 Years,2022,39720.0
North-East Region,Female,40 - 44 Years,2021,38160.0
North-East Region,Female,40 - 44 Years,2020,38130.0
North-East Region,Female,40 - 44 Years,2019,37480.0
North-East Region,Female,45 - 49 Years,2025,38610.0
North-East Region,Female,45 - 49 Years,2024,37910.0
North-East Region,Female,45 - 49 Years,2023,37360.0
North-East Region,Female,45 - 49 Years,2022,37060.0
North-East Region,Female,45 - 49 Years,2021,35840.0
North-East Region,Female,45 - 49 Years,2020,36210.0
North-East Region,Female,45 - 49 Years,2019,35370.0
North-East Region,Female,50 - 54 Years,2025,36540.0
North-East Region,Female,50 - 54 Years,2024,35900.0
North-East Region,Female,50 - 54 Years,2023,34420.0
North-East Region,Female,50 - 54 Years,2022,32410.0
North-East Region,Female,50 - 54 Years,2021,31160.0
North-East Region,Female,50 - 54 Years,2020,31460.0
North-East Region,Female,50 - 54 Years,2019,31480.0
North-East Region,Female,55 - 59 Years,2025,31540.0
North-East Region,Female,55 - 59 Years,2024,31640.0
North-East Region,Female,55 - 59 Years,2023,31950.0
North-East Region,Female,55 - 59 Years,2022,31900.0
North-East Region,Female,55 - 59 Years,2021,31710.0
North-East Region,Female,55 - 59 Years,2020,32290.0
North-East Region,Female,55 - 59 Years,2019,32420.0
North-East Region,Female,60 - 64 Years,2025,32210.0
North-East Region,Female,60 - 64 Years,2024,32220.0
North-East Region,Female,60 - 64 Years,2023,32090.0
North-East Region,Female,60 - 64 Years,2022,31560.0
North-East Region,Female,60 - 64 Years,2021,31380.0
North-East Region,Female,60 - 64 Years,2020,31570.0
North-East Region,Female,60 - 64 Years,2019,30920.0
North-East Region,Female,65 - 69 Years,2025,31150.0
North-East Region,Female,65 - 69 Years,2024,30590.0
North-East Region,Female,65 - 69 Years,2023,29700.0
North-East Region,Female,65 - 69 Years,2022,28360.0
North-East Region,Female,65 - 69 Years,2021,26820.0
North-East Region,Female,65 - 69 Years,2020,25950.0
North-East Region,Female,65 - 69 Years,2019,24990.0
North-East Region,Female,70 - 74 Years,2025,25100.0
North-East Region,Female,70 - 74 Years,2024,24100.0
North-East Region,Female,70 - 74 Years,2023,22910.0
North-East Region,Female,70 - 74 Years,2022,21860.0
North-East Region,Female,70 - 74 Years,2021,20960.0
North-East Region,Female,70 - 74 Years,2020,19540.0
North-East Region,Female,70 - 74 Years,2019,17150.0
North-East Region,Female,75 - 79 Years,2025,18270.0
North-East Region,Female,75 - 79 Years,2024,16060.0
North-East Region,Female,75 - 79 Years,2023,14570.0
North-East Region,Female,75 - 79 Years,2022,12680.0
North-East Region,Female,75 - 79 Years,2021,10960.0
North-East Region,Female,75 - 79 Years,2020,10810.0
North-East Region,Female,75 - 79 Years,2019,11230.0
North-East Region,Female,80 - 84 Years,2025,9330.0
North-East Region,Female,80 - 84 Years,2024,9670.0
North-East Region,Female,80 - 84 Years,2023,9430.0
North-East Region,Female,80 - 84 Years,2022,9230.0
North-East Region,Female,80 - 84 Years,2021,8670.0
North-East Region,Female,80 - 84 Years,2020,7960.0
North-East Region,Female,80 - 84 Years,2019,7440.0
North-East Region,Female,85 - 89 Years,2025,6130.0
North-East Region,Female,85 - 89 Years,2024,5650.0
North-East Region,Female,85 - 89 Years,2023,5170.0
North-East Region,Female,85 - 89 Years,2022,4860.0
North-East Region,Female,85 - 89 Years,2021,4840.0
North-East Region,Female,85 - 89 Years,2020,4750.0
North-East Region,Female,85 - 89 Years,2019,4360.0
North-East Region,Female,90 Years & Over,2025,3800.0
North-East Region,Female,90 Years & Over,2024,3470.0
North-East Region,Female,90 Years & Over,2023,3320.0
North-East Region,Female,90 Years & Over,2022,3310.0
North-East Region,Female,90 Years & Over,2021,3160.0
North-East Region,Female,90 Years & Over,2020,2940.0
North-East Region,Female,90 Years & Over,2019,2750.0
West Region,Male,0 - 4 Years,2025,18350.0
West Region,Male,0 - 4 Years,2024,18970.0
West Region,Male,0 - 4 Years,2023,19550.0
West Region,Male,0 - 4 Years,2022,19800.0
West Region,Male,0 - 4 Years,2021,19940.0
West Region,Male,0 - 4 Years,2020,20450.0
West Region,Male,0 - 4 Years,2019,20730.0
West Region,Male,5 - 9 Years,2025,21910.0
West Region,Male,5 - 9 Years,2024,22170.0
West Region,Male,5 - 9 Years,2023,22220.0
West Region,Male,5 - 9 Years,2022,22180.0
West Region,Male,5 - 9 Years,2021,21970.0
West Region,Male,5 - 9 Years,2020,22190.0
West Region,Male,5 - 9 Years,2019,22230.0
West Region,Male,10 - 14 Years,2025,23240.0
West Region,Male,10 - 14 Years,2024,23120.0
West Region,Male,10 - 14 Years,2023,23330.0
West Region,Male,10 - 14 Years,2022,23400.0
West Region,Male,10 - 14 Years,2021,23560.0
West Region,Male,10 - 14 Years,2020,24640.0
West Region,Male,10 - 14 Years,2019,25140.0
West Region,Male,15 - 19 Years,2025,25390.0
West Region,Male,15 - 19 Years,2024,25570.0
West Region,Male,15 - 19 Years,2023,25660.0
West Region,Male,15 - 19 Years,2022,25700.0
West Region,Male,15 - 19 Years,2021,25920.0
West Region,Male,15 - 19 Years,2020,27360.0
West Region,Male,15 - 19 Years,2019,28370.0
West Region,Male,20 - 24 Years,2025,27620.0
West Region,Male,20 - 24 Years,2024,28400.0
West Region,Male,20 - 24 Years,2023,29150.0
West Region,Male,20 - 24 Years,2022,30040.0
West Region,Male,20 - 24 Years,2021,30660.0
West Region,Male,20 - 24 Years,2020,31250.0
West Region,Male,20 - 24 Years,2019,31960.0
West Region,Male,25 - 29 Years,2025,32560.0
West Region,Male,25 - 29 Years,2024,33120.0
West Region,Male,25 - 29 Years,2023,33960.0
West Region,Male,25 - 29 Years,2022,34310.0
West Region,Male,25 - 29 Years,2021,34170.0
West Region,Male,25 - 29 Years,2020,35090.0
West Region,Male,25 - 29 Years,2019,34980.0
West Region,Male,30 - 34 Years,2025,35820.0
West Region,Male,30 - 34 Years,2024,35370.0
West Region,Male,30 - 34 Years,2023,35580.0
West Region,Male,30 - 34 Years,2022,34970.0
West Region,Male,30 - 34 Years,2021,33750.0
West Region,Male,30 - 34 Years,2020,33410.0
West Region,Male,30 - 34 Years,2019,32850.0
West Region,Male,35 - 39 Years,2025,33090.0
West Region,Male,35 - 39 Years,2024,32420.0
West Region,Male,35 - 39 Years,2023,31030.0
West Region,Male,35 - 39 Years,2022,30100.0
West Region,Male,35 - 39 Years,2021,30310.0
West Region,Male,35 - 39 Years,2020,31340.0
West Region,Male,35 - 39 Years,2019,31550.0
West Region,Male,40 - 44 Years,2025,31610.0
West Region,Male,40 - 44 Years,2024,31490.0
West Region,Male,40 - 44 Years,2023,31530.0
West Region,Male,40 - 44 Years,2022,31020.0
West Region,Male,40 - 44 Years,2021,30880.0
West Region,Male,40 - 44 Years,2020,31730.0
West Region,Male,40 - 44 Years,2019,32350.0
West Region,Male,45 - 49 Years,2025,31350.0
West Region,Male,45 - 49 Years,2024,31800.0
West Region,Male,45 - 49 Years,2023,32360.0
West Region,Male,45 - 49 Years,2022,33000.0
West Region,Male,45 - 49 Years,2021,33010.0
West Region,Male,45 - 49 Years,2020,34520.0
West Region,Male,45 - 49 Years,2019,34840.0
West Region,Male,50 - 54 Years,2025,33920.0
West Region,Male,50 - 54 Years,2024,33900.0
West Region,Male,50 - 54 Years,2023,33710.0
West Region,Male,50 - 54 Years,2022,33300.0
West Region,Male,50 - 54 Years,2021,33130.0
West Region,Male,50 - 54 Years,2020,34920.0
West Region,Male,50 - 54 Years,2019,36000.0
West Region,Male,55 - 59 Years,2025,33780.0
West Region,Male,55 - 59 Years,2024,34680.0
West Region,Male,55 - 59 Years,2023,35720.0
West Region,Male,55 - 59 Years,2022,35860.0
West Region,Male,55 - 59 Years,2021,35870.0
West Region,Male,55 - 59 Years,2020,36400.0
West Region,Male,55 - 59 Years,2019,36310.0
West Region,Male,60 - 64 Years,2025,34810.0
West Region,Male,60 - 64 Years,2024,34550.0
West Region,Male,60 - 64 Years,2023,34050.0
West Region,Male,60 - 64 Years,2022,33270.0
West Region,Male,60 - 64 Years,2021,32710.0
West Region,Male,60 - 64 Years,2020,32950.0
West Region,Male,60 - 64 Years,2019,32260.0
West Region,Male,65 - 69 Years,2025,30950.0
West Region,Male,65 - 69 Years,2024,30160.0
West Region,Male,65 - 69 Years,2023,29260.0
West Region,Male,65 - 69 Years,2022,28150.0
West Region,Male,65 - 69 Years,2021,26860.0
West Region,Male,65 - 69 Years,2020,25830.0
West Region,Male,65 - 69 Years,2019,24750.0
West Region,Male,70 - 74 Years,2025,23540.0
West Region,Male,70 - 74 Years,2024,22470.0
West Region,Male,70 - 74 Years,2023,21370.0
West Region,Male,70 - 74 Years,2022,20170.0
West Region,Male,70 - 74 Years,2021,19170.0
West Region,Male,70 - 74 Years,2020,17590.0
West Region,Male,70 - 74 Years,2019,15320.0
West Region,Male,75 - 79 Years,2025,15300.0
West Region,Male,75 - 79 Years,2024,13220.0
West Region,Male,75 - 79 Years,2023,11570.0
West Region,Male,75 - 79 Years,2022,10040.0
West Region,Male,75 - 79 Years,2021,8270.0
West Region,Male,75 - 79 Years,2020,8100.0
West Region,Male,75 - 79 Years,2019,8210.0
West Region,Male,80 - 84 Years,2025,6290.0
West Region,Male,80 - 84 Years,2024,6300.0
West Region,Male,80 - 84 Years,2023,6130.0
West Region,Male,80 - 84 Years,2022,5850.0
West Region,Male,80 - 84 Years,2021,5600.0
West Region,Male,80 - 84 Years,2020,5150.0
West Region,Male,80 - 84 Years,2019,4780.0
West Region,Male,85 - 89 Years,2025,3290.0
West Region,Male,85 - 89 Years,2024,3080.0
West Region,Male,85 - 89 Years,2023,2690.0
West Region,Male,85 - 89 Years,2022,2500.0
West Region,Male,85 - 89 Years,2021,2450.0
West Region,Male,85 - 89 Years,2020,2320.0
West Region,Male,85 - 89 Years,2019,2090.0
West Region,Male,90 Years & Over,2025,1370.0
West Region,Male,90 Years & Over,2024,1210.0
West Region,Male,90 Years & Over,2023,1130.0
West Region,Male,90 Years & Over,2022,1090.0
West Region,Male,90 Years & Over,2021,1010.0
West Region,Male,90 Years & Over,2020,970.0
West Region,Male,90 Years & Over,2019,890.0
West Region,Female,0 - 4 Years,2025,17190.0
West Region,Female,0 - 4 Years,2024,17880.0
West Region,Female,0 - 4 Years,2023,18410.0
West Region,Female,0 - 4 Years,2022,18850.0
West Region,Female,0 - 4 Years,2021,18960.0
West Region,Female,0 - 4 Years,2020,19580.0
West Region,Female,0 - 4 Years,2019,19700.0
West Region,Female,5 - 9 Years,2025,20860.0
West Region,Female,5 - 9 Years,2024,21050.0
West Region,Female,5 - 9 Years,2023,21090.0
West Region,Female,5 - 9 Years,2022,21030.0
West Region,Female,5 - 9 Years,2021,20940.0
West Region,Female,5 - 9 Years,2020,21320.0
West Region,Female,5 - 9 Years,2019,21670.0
West Region,Female,10 - 14 Years,2025,22500.0
West Region,Female,10 - 14 Years,2024,22620.0
West Region,Female,10 - 14 Years,2023,22740.0
West Region,Female,10 - 14 Years,2022,22930.0
West Region,Female,10 - 14 Years,2021,22830.0
West Region,Female,10 - 14 Years,2020,23800.0
West Region,Female,10 - 14 Years,2019,24280.0
West Region,Female,15 - 19 Years,2025,24530.0
West Region,Female,15 - 19 Years,2024,24590.0
West Region,Female,15 - 19 Years,2023,24720.0
West Region,Female,15 - 19 Years,2022,24540.0
West Region,Female,15 - 19 Years,2021,24500.0
West Region,Female,15 - 19 Years,2020,26230.0
West Region,Female,15 - 19 Years,2019,27250.0
West Region,Female,20 - 24 Years,2025,26800.0
West Region,Female,20 - 24 Years,2024,27540.0
West Region,Female,20 - 24 Years,2023,28010.0
West Region,Female,20 - 24 Years,2022,28390.0
West Region,Female,20 - 24 Years,2021,29090.0
West Region,Female,20 - 24 Years,2020,30240.0
West Region,Female,20 - 24 Years,2019,30830.0
West Region,Female,25 - 29 Years,2025,31780.0
West Region,Female,25 - 29 Years,2024,32400.0
West Region,Female,25 - 29 Years,2023,33530.0
West Region,Female,25 - 29 Years,2022,33580.0
West Region,Female,25 - 29 Years,2021,33490.0
West Region,Female,25 - 29 Years,2020,34690.0
West Region,Female,25 - 29 Years,2019,35070.0
West Region,Female,30 - 34 Years,2025,36440.0
West Region,Female,30 - 34 Years,2024,36350.0
West Region,Female,30 - 34 Years,2023,36860.0
West Region,Female,30 - 34 Years,2022,36390.0
West Region,Female,30 - 34 Years,2021,34910.0
West Region,Female,30 - 34 Years,2020,34770.0
West Region,Female,30 - 34 Years,2019,34480.0
West Region,Female,35 - 39 Years,2025,35710.0
West Region,Female,35 - 39 Years,2024,35340.0
West Region,Female,35 - 39 Years,2023,33830.0
West Region,Female,35 - 39 Years,2022,33020.0
West Region,Female,35 - 39 Years,2021,32970.0
West Region,Female,35 - 39 Years,2020,34780.0
West Region,Female,35 - 39 Years,2019,35120.0
West Region,Female,40 - 44 Years,2025,35570.0
West Region,Female,40 - 44 Years,2024,35350.0
West Region,Female,40 - 44 Years,2023,35410.0
West Region,Female,40 - 44 Years,2022,34230.0
West Region,Female,40 - 44 Years,2021,33390.0
West Region,Female,40 - 44 Years,2020,34360.0
West Region,Female,40 - 44 Years,2019,34760.0
West Region,Female,45 - 49 Years,2025,34560.0
West Region,Female,45 - 49 Years,2024,34460.0
West Region,Female,45 - 49 Years,2023,34570.0
West Region,Female,45 - 49 Years,2022,34750.0
West Region,Female,45 - 49 Years,2021,34470.0
West Region,Female,45 - 49 Years,2020,36340.0
West Region,Female,45 - 49 Years,2019,36740.0
West Region,Female,50 - 54 Years,2025,35960.0
West Region,Female,50 - 54 Years,2024,35920.0
West Region,Female,50 - 54 Years,2023,35660.0
West Region,Female,50 - 54 Years,2022,34920.0
West Region,Female,50 - 54 Years,2021,34290.0
West Region,Female,50 - 54 Years,2020,35500.0
West Region,Female,50 - 54 Years,2019,36150.0
West Region,Female,55 - 59 Years,2025,34810.0
West Region,Female,55 - 59 Years,2024,35150.0
West Region,Female,55 - 59 Years,2023,35660.0
West Region,Female,55 - 59 Years,2022,35280.0
West Region,Female,55 - 59 Years,2021,34970.0
West Region,Female,55 - 59 Years,2020,35520.0
West Region,Female,55 - 59 Years,2019,35350.0
West Region,Female,60 - 64 Years,2025,34580.0
West Region,Female,60 - 64 Years,2024,34250.0
West Region,Female,60 - 64 Years,2023,33660.0
West Region,Female,60 - 64 Years,2022,32870.0
West Region,Female,60 - 64 Years,2021,32290.0
West Region,Female,60 - 64 Years,2020,32470.0
West Region,Female,60 - 64 Years,2019,31950.0
West Region,Female,65 - 69 Years,2025,31250.0
West Region,Female,65 - 69 Years,2024,30560.0
West Region,Female,65 - 69 Years,2023,29650.0
West Region,Female,65 - 69 Years,2022,28510.0
West Region,Female,65 - 69 Years,2021,27130.0
West Region,Female,65 - 69 Years,2020,26220.0
West Region,Female,65 - 69 Years,2019,24880.0
West Region,Female,70 - 74 Years,2025,24890.0
West Region,Female,70 - 74 Years,2024,23470.0
West Region,Female,70 - 74 Years,2023,22140.0
West Region,Female,70 - 74 Years,2022,20790.0
West Region,Female,70 - 74 Years,2021,19650.0
West Region,Female,70 - 74 Years,2020,18110.0
West Region,Female,70 - 74 Years,2019,15760.0
West Region,Female,75 - 79 Years,2025,16660.0
West Region,Female,75 - 79 Years,2024,14440.0
West Region,Female,75 - 79 Years,2023,12890.0
West Region,Female,75 - 79 Years,2022,11130.0
West Region,Female,75 - 79 Years,2021,9600.0
West Region,Female,75 - 79 Years,2020,9440.0
West Region,Female,75 - 79 Years,2019,9700.0
West Region,Female,80 - 84 Years,2025,8110.0
West Region,Female,80 - 84 Years,2024,8260.0
West Region,Female,80 - 84 Years,2023,8000.0
West Region,Female,80 - 84 Years,2022,7790.0
West Region,Female,80 - 84 Years,2021,7320.0
West Region,Female,80 - 84 Years,2020,6670.0
West Region,Female,80 - 84 Years,2019,6170.0
West Region,Female,85 - 89 Years,2025,5010.0
West Region,Female,85 - 89 Years,2024,4580.0
West Region,Female,85 - 89 Years,2023,4220.0
West Region,Female,85 - 89 Years,2022,4070.0
West Region,Female,85 - 89 Years,2021,4030.0
West Region,Female,85 - 89 Years,2020,3950.0
West Region,Female,85 - 89 Years,2019,3680.0
West Region,Female,90 Years & Over,2025,3090.0
West Region,Female,90 Years & Over,2024,2910.0
West Region,Female,90 Years & Over,2023,2730.0
West Region,Female,90 Years & Over,2022,2640.0
West Region,Female,90 Years & Over,2021,2520.0
West Region,Female,90 Years & Over,2020,2340.0
West Region,Female,90 Years & Over,2019,2190.0
